Date,Hour,t_index,Weather_Indicator
2023-05-02,21,350,0.0
2023-05-02,21,351,0.0
2023-05-02,21,352,0.0
2023-05-02,21,353,0.0
2023-05-02,21,354,0.0
2023-05-02,21,355,0.0
2023-05-02,21,356,0.0
2023-05-02,21,357,0.0
2023-05-02,21,358,0.0
2023-05-02,21,359,0.0
2023-05-02,21,360,0.0
2023-05-02,21,361,0.0
2023-05-02,22,362,0.0
2023-05-03,7,363,0.0
2023-05-03,7,364,0.0
2023-05-03,7,365,0.0
2023-05-03,7,366,0.0
2023-05-03,7,367,0.0
2023-05-03,7,368,0.0
2023-05-03,7,369,0.0
2023-05-03,7,370,0.0
2023-05-03,7,371,0.0
2023-05-03,7,372,0.0
2023-05-03,7,373,0.0
2023-05-03,7,374,0.0
2023-05-03,8,375,0.0
2023-05-03,8,376,0.0
2023-05-03,8,377,0.0
2023-05-03,8,378,0.0
2023-05-03,8,379,0.0
2023-05-03,8,380,0.0
2023-05-03,8,381,0.0
2023-05-03,8,382,0.0
2023-05-03,8,383,0.0
2023-05-03,8,384,0.0
2023-05-03,8,385,0.0
2023-05-03,8,386,0.0
2023-05-03,9,387,0.0
2023-05-03,9,388,0.0
2023-05-03,9,389,0.0
2023-05-03,9,390,0.0
2023-05-03,9,391,0.0
2023-05-03,9,392,0.0
2023-05-03,9,393,0.0
2023-05-03,9,394,0.0
2023-05-03,9,395,0.0
2023-05-03,9,396,0.0
2023-05-03,9,397,0.0
2023-05-03,9,398,0.0
2023-05-03,10,399,0.0
2023-05-03,10,400,0.0
2023-05-03,10,401,0.0
2023-05-03,10,402,0.0
2023-05-03,10,403,0.0
2023-05-03,10,404,0.0
2023-05-03,10,405,0.0
2023-05-03,10,406,0.0
2023-05-03,10,407,0.0
2023-05-03,10,408,0.0
2023-05-03,10,409,0.0
2023-05-03,10,410,0.0
2023-05-03,11,411,0.0
2023-05-03,11,412,0.0
2023-05-03,11,413,0.0
2023-05-03,11,414,0.0
2023-05-03,11,415,0.0
2023-05-03,11,416,0.0
2023-05-03,11,417,0.0
2023-05-03,11,418,0.0
2023-05-03,11,419,0.0
2023-05-03,11,420,0.0
2023-05-03,11,421,0.0
2023-05-03,11,422,0.0
2023-05-03,12,423,0.0
2023-05-03,12,424,0.0
2023-05-03,12,425,0.0
2023-05-03,12,426,0.0
2023-05-03,12,427,0.0
2023-05-03,12,428,0.0
2023-05-03,12,429,0.0
2023-05-03,12,430,0.0
2023-05-03,12,431,0.0
2023-05-03,12,432,0.0
2023-05-03,12,433,0.0
2023-05-03,12,434,0.0
2023-05-03,13,435,0.0
2023-05-03,13,436,0.0
2023-05-03,13,437,0.0
2023-05-03,13,438,0.0
2023-05-03,13,439,0.0
2023-05-03,13,440,0.0
2023-05-03,13,441,0.0
2023-05-03,13,442,0.0
2023-05-03,13,443,0.0
2023-05-03,13,444,0.0
2023-05-03,13,445,0.0
2023-05-03,13,446,0.0
2023-05-03,14,447,0.0
2023-05-03,14,448,0.0
2023-05-03,14,449,0.0
2023-05-03,14,450,0.0
2023-05-03,14,451,0.0
2023-05-03,14,452,0.0
2023-05-03,14,453,0.0
2023-05-03,14,454,0.0
2023-05-03,14,455,0.0
2023-05-03,14,456,0.0
2023-05-03,14,457,0.0
2023-05-03,14,458,0.0
2023-05-03,15,459,0.0
2023-05-03,15,460,0.0
2023-05-03,15,461,0.0
2023-05-03,15,462,0.0
2023-05-03,15,463,0.0
2023-05-03,15,464,0.0
2023-05-03,15,465,0.0
2023-05-03,15,466,0.0
2023-05-03,15,467,0.0
2023-05-03,15,468,0.0
2023-05-03,15,469,0.0
2023-05-03,15,470,0.0
2023-05-03,16,471,0.0
2023-05-03,16,472,0.0
2023-05-03,16,473,0.0
2023-05-03,16,474,0.0
2023-05-03,16,475,0.0
2023-05-03,16,476,0.0
2023-05-03,16,477,0.0
2023-05-03,16,478,0.0
2023-05-03,16,479,0.0
2023-05-03,16,480,0.0
2023-05-03,16,481,0.0
2023-05-03,16,482,0.0
2023-05-03,17,483,0.0
2023-05-03,17,484,0.0
2023-05-03,17,485,0.0
2023-05-03,17,486,0.0
2023-05-03,17,487,0.0
2023-05-03,17,488,0.0
2023-05-03,17,489,0.0
2023-05-03,17,490,0.0
2023-05-03,17,491,0.0
2023-05-03,17,492,0.0
2023-05-03,17,493,0.0
2023-05-03,17,494,0.0
2023-05-03,18,495,0.0
2023-05-03,18,496,0.0
2023-05-03,18,497,0.0
2023-05-03,18,498,0.0
2023-05-03,18,499,0.0
2023-05-03,18,500,0.0
2023-05-03,18,501,0.0
2023-05-03,18,502,0.0
2023-05-03,18,503,0.0
2023-05-03,18,504,0.0
2023-05-03,18,505,0.0
2023-05-03,18,506,0.0
2023-05-03,19,507,0.0
2023-05-03,19,508,0.0
2023-05-03,19,509,0.0
